,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
106.1,DisTest_Seed61442_Strain0p6_VolumeFraction90,ALL,5827.054217312567,Ferrite,0.0,0.006,0.0,789.8589999999999,-0.27800000000002,0.016506450657422345,0.058553941547870636,2.5212397882003104,1.7241379310344,0
106.2,DisTest_Seed61442_Strain0p6_VolumeFraction90,ALL,7141.745704552061,Martensite,0.0,0.006,0.0,789.8589999999999,-0.27800000000002,0.010880696489501395,0.03318414092063904,1.8700931486857668,1.72413793,0
107,DisTest_Seed36003_Strain0p3_VolumeFraction85,ALL,43704.03905852682,wholeMod,0.0,0.003,0.0,538.0325,-0.032500000000027285,0.005129932354171868,0.009634957648813725,2.5212397882003104,1.7241379310344,0
107.1,DisTest_Seed36003_Strain0p3_VolumeFraction85,ALL,58001.45920191926,Martensite,0.0,0.003,0.0,538.0325,-0.032500000000027285,0.003229004602568845,0.008554701693356037,1.8700931486857668,1.72413793,0
107.2,DisTest_Seed36003_Strain0p3_VolumeFraction85,ALL,43704.03905852682,Ferrite,0.0,0.003,0.0,538.0325,-0.032500000000027285,0.005129932354171868,0.009634957648813725,2.5212397882003104,1.7241379310344,0
108,DisTest_Seed93426_Strain0p9_VolumeFraction100,ALL,2197.2776346560163,wholeMod,0.0,0.009,0.0,1001.273,-1.356999999999971,0.0215560893735124,0.07334893196821213,1.8700931486857668,1.72413793,0
108.1,DisTest_Seed93426_Strain0p9_VolumeFraction100,ALL,2197.2776346560163,Martensite,0.0,0.009,0.0,1001.273,-1.356999999999971,0.0215560893735124,0.07334893196821213,1.8700931486857668,1.72413793,0
109,DisTest_Seed93426_Strain0p3_VolumeFraction100,ALL,63232.2112993635,wholeMod,0.0,0.003,0.0,540.8715,-0.009500000000002728,0.003071276968278523,0.007430210243910551,1.8700931486857668,1.72413793,0
109.1,DisTest_Seed93426_Strain0p3_VolumeFraction100,ALL,63232.2112993635,Martensite,0.0,0.003,0.0,540.8715,-0.009500000000002728,0.003071276968278523,0.007430210243910551,1.8700931486857668,1.72413793,0
110,DisTest_Seed25609_Strain0p9_VolumeFraction85,ALL,1097.7302858258745,wholeMod,0.0,0.009,0.0,962.3025,-1.1394999999999982,0.04346369829080585,0.09532413631677628,2.5212397882003104,1.7241379310344,0
110.1,DisTest_Seed25609_Strain0p9_VolumeFraction85,ALL,1097.7302858258745,Ferrite,0.0,0.009,0.0,962.3025,-1.1394999999999982,0.04346369829080585,0.09532413631677628,2.5212397882003104,1.7241379310344,0
110.2,DisTest_Seed25609_Strain0p9_VolumeFraction85,ALL,1855.004713484006,Martensite,0.0,0.009,0.0,962.3025,-1.1394999999999982,0.02378061751702002,0.08032147586345673,1.8700931486857668,1.72413793,0
111,DisTest_Seed36003_Strain0p6_VolumeFraction85,ALL,3741.6685301885177,wholeMod,0.0,0.006,0.0,787.6859999999999,-0.29900000000009186,0.021342056812908575,0.04850439727306366,2.5212397882003104,1.7241379310344,0
111.1,DisTest_Seed36003_Strain0p6_VolumeFraction85,ALL,5110.371061401333,Martensite,0.0,0.006,0.0,787.6859999999999,-0.29900000000009186,0.013211764550457398,0.030931027606129646,1.8700931486857668,1.72413793,0
